"Identificador do processo de viagem ";"Número da Proposta (PCDP)";"Sequência Trecho";"Origem - Data";"Origem - País";"Origem - UF";"Origem - Cidade";"Destino - Data";"Destino - País";"Destino - UF";"Destino - Cidade";"Meio de transporte";"Número Diárias";"Missao?"
"0000000000018387433";"001258/22";"2";"16/02/2023";"Brasil";"Pará";"Belém";"16/02/2023";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"0,50";"Não"
"0000000000018387433";"001258/22";"1";"13/02/2023";"Brasil";"Distrito Federal";"Brasília";"16/02/2023";"Brasil";"Pará";"Belém";"Aéreo";"3,00";"Sim"
"0000000000018479297";"052420/22";"3";"07/02/2023";"Brasil";"Maranhão";"Itapecuru Mirim";"08/02/2023";"Brasil";"Maranhão";"Itapecuru Mirim";"Inválido";"1,00";"Sim"
"0000000000018479297";"052420/22";"2";"07/02/2023";"Brasil";"Maranhão";"São Luís";"07/02/2023";"Brasil";"Maranhão";"Itapecuru Mirim";"Veículo Oficial";"0,00";"Não"
"0000000000018479297";"052420/22";"5";"08/02/2023";"Brasil";"Maranhão";"São Luís";"08/02/2023";"Brasil";"Pernambuco";"Recife";"Aéreo";"0,50";"Não"
"0000000000018479297";"052420/22";"1";"07/02/2023";"Brasil";"Pernambuco";"Recife";"07/02/2023";"Brasil";"Maranhão";"São Luís";"Aéreo";"0,00";"Não"
"0000000000018479297";"052420/22";"4";"08/02/2023";"Brasil";"Maranhão";"Itapecuru Mirim";"08/02/2023";"Brasil";"Maranhão";"São Luís";"Veículo Oficial";"0,00";"Não"
"0000000000018492555";"000001/23";"1";"01/01/2023";"Brasil";"Distrito Federal";"Brasília";"02/01/2023";"Argentina";"";"Buenos Aires";"Aéreo";"0,00";"Não"
"0000000000018500669";"000002/23";"1";"01/01/2023";"Brasil";"Distrito Federal";"Brasília";"02/01/2023";"Argentina";"";"Buenos Aires";"Aéreo";"0,00";"Não"
"0000000000018509100";"000091/22";"1";"02/02/2023";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"03/02/2023";"Brasil";"São Paulo";"São Paulo";"Aéreo";"1,00";"Sim"
"0000000000018509100";"000091/22";"2";"03/02/2023";"Brasil";"São Paulo";"São Paulo";"03/02/2023";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";"0,50";"Não"
"0000000000018513672";"000001/23";"1";"10/01/2023";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"13/01/2023";"Brasil";"Rio de Janeiro";"Campos dos Goytacazes";"Aéreo";"0,00";"Sim"
"0000000000018513672";"000001/23";"2";"13/01/2023";"Brasil";"Rio de Janeiro";"Campos dos Goytacazes";"13/01/2023";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";"0,00";"Não"
"0000000000018514026";"000002/23";"1";"10/01/2023";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"13/01/2023";"Brasil";"Rio de Janeiro";"Campos dos Goytacazes";"Aéreo";"0,00";"Sim"
"0000000000018514026";"000002/23";"2";"13/01/2023";"Brasil";"Rio de Janeiro";"Campos dos Goytacazes";"13/01/2023";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";"0,00";"Não"
"0000000000018530210";"030611/22";"2";"05/01/2023";"Brasil";"Amazonas";"Carauari";"05/01/2023";"Brasil";"Amazonas";"Manaus";"Aéreo";"0,50";"Não"
"0000000000018530210";"030611/22";"1";"03/01/2023";"Brasil";"Amazonas";"Manaus";"05/01/2023";"Brasil";"Amazonas";"Carauari";"Aéreo";"2,00";"Sim"
"0000000000018542763";"000096/23";"2";"01/01/2023";"Alemanha";"";"Nuremberg";"03/01/2023";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"0,00";"Sim"
"0000000000018542763";"000096/23";"1";"01/01/2023";"Alemanha";"";"Nuremberg";"01/01/2023";"Alemanha";"";"Nuremberg";"Aéreo";"0,00";"Sim"
"0000000000018542968";"000097/23";"2";"01/01/2023";"Alemanha";"";"Nuremberg";"03/01/2023";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"0,00";"Sim"
"0000000000018542968";"000097/23";"1";"01/01/2023";"Alemanha";"";"Nuremberg";"01/01/2023";"Alemanha";"";"Nuremberg";"Aéreo";"0,00";"Sim"
"0000000000018551236";"000008/23";"2";"16/01/2023";"Brasil";"Minas Gerais";"Montes Claros";"17/01/2023";"Brasil";"Paraná";"Foz do Iguaçu";"Aéreo";"0,00";"Não"
"0000000000018551236";"000008/23";"1";"02/01/2023";"Brasil";"Paraná";"Foz do Iguaçu";"16/01/2023";"Brasil";"Minas Gerais";"Montes Claros";"Aéreo";"0,00";"Não"
"0000000000018563394";"000002/23";"2";"06/01/2023";"Brasil";"Minas Gerais";"Governador Valadares";"06/01/2023";"Brasil";"Minas Gerais";"Belo Horizonte";"Aéreo";"0,00";"Não"
"0000000000018563394";"000002/23";"1";"04/01/2023";"Brasil";"Minas Gerais";"Belo Horizonte";"06/01/2023";"Brasil";"Minas Gerais";"Governador Valadares";"Aéreo";"0,00";"Sim"
"0000000000018564921";"001579/22";"2";"28/03/2023";"Brasil";"Paraná";"Curitiba";"28/03/2023";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";"0,50";"Não"
"0000000000018564921";"001579/22";"1";"28/03/2023";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"28/03/2023";"Brasil";"Paraná";"Curitiba";"Aéreo";"0,00";"Sim"
"0000000000018596792";"000001/23";"2";"01/04/2023";"Brasil";"Paraná";"Foz do Iguaçu";"02/04/2023";"Brasil";"Pará";"Santarém";"Aéreo";"0,00";"Não"
"0000000000018596792";"000001/23";"1";"27/03/2023";"Brasil";"Pará";"Santarém";"01/04/2023";"Brasil";"Paraná";"Foz do Iguaçu";"Aéreo";"0,00";"Sim"
"0000000000018596822";"000002/23";"2";"01/04/2023";"Brasil";"Paraná";"Foz do Iguaçu";"02/04/2023";"Brasil";"Amazonas";"Manaus";"Aéreo";"0,00";"Não"
"0000000000018596822";"000002/23";"1";"27/03/2023";"Brasil";"Amazonas";"Manaus";"01/04/2023";"Brasil";"Paraná";"Foz do Iguaçu";"Aéreo";"0,00";"Sim"
"0000000000018596829";"000003/23";"2";"01/04/2023";"Brasil";"Paraná";"Foz do Iguaçu";"02/04/2023";"Brasil";"Amazonas";"Manaus";"Aéreo";"0,00";"Não"
"0000000000018596829";"000003/23";"1";"27/03/2023";"Brasil";"Amazonas";"Manaus";"01/04/2023";"Brasil";"Paraná";"Foz do Iguaçu";"Aéreo";"0,00";"Sim"
